k,EventType,EventID,rMATS,SUPPA2,ESGq
13,SE,chrX:2670258-2670630-2670685-2671120,-0.018,nan,-0.026219540574199736
13,SE,chr3R:10294319-10295320-10296062-10296733,0.139,nan,0.09439047981961576
13,SE,chr2R:19237064-19237741-19237772-19238151,0.116,nan,0.21522237538783295
13,SE,chr2R:13179014-13179587-13180111-13180989,-0.142,nan,nan
13,SE,chr2R:6926822-6927389-6928149-6928508,-0.032,nan,-0.002747252747252746
13,SE,chr3R:31969786-31975447-31975966-31979522,0.074,nan,0.02083333333333326
13,SE,chrX:13597405-13599415-13599461-13600069,0.013,nan,nan
13,SE,chr3L:2631917-2631976-2632122-2633537,-0.064,nan,-0.0999843620424321
13,SE,chrX:18373456-18375248-18375387-18375842,-0.369,-0.2383559973,-0.38960067493952444
13,SE,chrX:20158270-20158338-20158529-20158895,-0.044,nan,-0.040964878586305084
13,SE,chrX:2642094-2669633-2669754-2669912,-0.24,nan,nan
13,SE,chr3L:20497426-20510029-20510780-20511936,-0.644,nan,-0.5653169327261847
13,SE,chr3L:6692591-6702862-6703230-6703319,-0.091,nan,-0.023925747455159206
13,SE,chr2L:7646011-7646942-7647267-7648746,0.099,nan,0.06819180507820066
13,SE,chr2R:15936581-15937678-15937880-15938446,nan,-0.0795512396,-0.015024011545309468
13,SE,chrX:13594051-13594284-13594364-13594829,0.568,nan,nan
13,SE,chr2L:7033019-7034764-7034913-7035074,0.112,nan,nan
13,SE,chr3L:9830786-9830999-9831441-9831920,0.296,nan,0.25757718526392925
13,SE,chr3R:28872293-28872426-28872436-28872519,0.365,nan,0.16749264079014214
13,SE,chr2L:19717455-19719708-19720000-19725894,0.43,nan,0.4528182814627828
13,SE,chrX:13770143-13770765-13770805-13771127,0.604,0.2268663054,0.5591759475062557
13,SE,chr2L:22927766-22938773-22938843-22939353,-0.136,nan,nan
13,SE,chr2L:4879197-4880293-4880473-4881214,0.133,nan,nan
13,SE,chrX:9022240-9023274-9023327-9024073,-0.623,nan,nan
13,SE,chr2L:16777440-16778004-16778123-16780549,0.245,nan,nan
13,SE,chr2L:6637025-6637433-6637491-6637977,-0.055,nan,-0.09361738543146991
13,SE,chr4:883642-885759-885892-898392,-0.051,nan,nan
13,SE,chr3L:21834830-21835070-21835230-21835466,-0.076,nan,-0.06790883767345095
13,SE,chr3R:4444563-4445331-4445416-4446424,0.02,nan,nan
13,SE,chr2R:13821558-13821765-13822126-13824283,-0.312,nan,nan
13,SE,chrX:10226656-10226971-10226990-10227402,-0.101,nan,-0.15398794142980188
13,SE,chrX:13596749-13597380-13597405-13598173,0.084,0.1660631218,0.019400910726794507
13,SE,chr3R:14316204-14316310-14316381-14316476,-0.116,-0.3151429053,-0.17619410952627573
13,SE,chr3R:27066666-27066728-27066885-27069143,0.214,nan,0.27102670328476774
13,SE,chrX:20232165-20233422-20233444-20234774,-0.214,-0.2648775204,-0.14274133192685845
13,SE,chr3R:11989524-11992071-11992144-11992741,-0.23,nan,-0.3388047924414195
13,SE,chr2L:12727117-12728020-12728242-12737958,-0.181,nan,nan
13,SE,chrX:13596749-13599415-13599461-13600069,0.474,0.1173547395,0.5154855237565444
13,SE,chr2R:15456816-15460872-15461227-15463297,-0.014,nan,0.028224322078332198
13,SE,chr2L:3361444-3362415-3362719-3362998,-0.122,-0.4663280927,-0.0983575027737157
13,SE,chr2R:16136567-16136833-16137030-16137204,-0.123,-0.2697614076,-0.15719099349108234
13,SE,chrX:21379710-21379972-21380095-21380650,-0.076,nan,nan
13,SE,chr3R:4176192-4182061-4182928-4183716,0.018,nan,nan
13,SE,chrX:13804422-13805451-13805476-13806531,0.548,nan,0.578520934627035
13,SE,chr3L:9401368-9401656-9401719-9402098,0.368,nan,0.10968411059842886
13,SE,chr3R:13696347-13696436-13696769-13696826,-0.218,-0.145717396,-0.2006288754185965
13,SE,chr2R:9126067-9127026-9127163-9127418,0.095,nan,0.03368718938352655
13,SE,chr4:664341-664987-665306-665950,-0.027,nan,-0.007389304991003542
13,SE,chrX:16550466-16551474-16551490-16552339,0.244,0.2382109253,0.24667233350787013
13,SE,chr3R:7195896-7197569-7197660-7198327,0.07,nan,nan
13,SE,chr2R:19399094-19406019-19406089-19407840,-0.223,nan,0.04063079135215508
13,SE,chrX:6577113-6577943-6583179-6585695,-0.256,nan,nan
13,SE,chr3L:19780280-19789963-19790255-19793427,-0.186,nan,nan
13,SE,chr2R:15885489-15885584-15885657-15886098,0.303,nan,0.34230769230769237
13,SE,chr2L:7401439-7403228-7403362-7403541,-0.031,nan,nan
13,SE,chr3L:1525393-1525641-1525704-1527189,0.255,nan,nan
13,SE,chr3R:11591308-11591994-11592013-11592366,-0.155,-0.1683072209,-0.20534988751471822
13,SE,chr3R:30818208-30820880-30821058-30824277,-0.053,-0.1642729289,-0.06580313718214484
13,SE,chr3R:18975171-18975242-18975282-18975457,0.33,nan,0.20543466460323145
13,SE,chr3L:21570504-21570555-21570655-21570719,nan,0.2373022495,0.009948979591836826
13,SE,chr2R:9126214-9127026-9127163-9127418,-0.094,nan,-0.18608656256024675
13,SE,chr3L:8357936-8358015-8358073-8358555,-0.109,nan,nan
13,SE,chr3L:20965756-20965809-20966064-20966128,0.108,nan,0.031746031746031744
13,SE,chr2R:19944419-19944480-19944632-19944691,-0.0,nan,nan
13,SE,chr3L:23227548-23238836-23239018-23262707,-0.622,0.4488639654,-0.5547356674983943
13,SE,chrX:10386564-10388442-10388836-10406352,-0.061,nan,-0.08732700854927326
13,SE,chr3L:9401368-9401656-9401719-9402279,0.03,nan,nan
13,SE,chr3L:12370333-12370958-12371007-12371543,-0.097,-0.2037536543,-0.5519630864010503
13,SE,chrX:17677504-17681292-17681830-17682426,nan,0.5496537634,0.387768106047676
13,SE,chr3R:9432840-9444010-9444077-9445043,-0.255,nan,-0.14023333465656723
13,SE,chr2R:24672307-24672550-24673317-24675062,-0.683,-0.5814919745,-0.5817729338885271
13,SE,chr4:99476-104082-104529-107402,-0.454,nan,-0.36064445154192837
13,SE,chr3L:8288221-8289169-8289484-8289712,-0.029,nan,nan
13,SE,chr4:190062-191308-191387-193672,-0.331,nan,nan
13,SE,chr3L:24741001-24748407-24748495-24757360,0.095,nan,0.11560270715200294
13,SE,chr3L:22716203-22716297-22716415-22716568,0.178,0.2583108536,0.15857420470742423
13,SE,chrX:23030854-23032519-23032601-23032745,nan,0.3099428987,0.13978689981787906
13,SE,chr3R:21008241-21008721-21008737-21011266,0.434,nan,0.5556581308972697
13,SE,chr2L:13535027-13546910-13547304-13549131,-0.205,nan,nan
13,SE,chr3L:8635753-8637438-8637599-8638156,-0.075,nan,-0.02651242106625451
13,SE,chrX:10798994-10813248-10814094-10821318,0.149,nan,nan
13,SE,chr3R:20958168-20962214-20962296-20963724,0.321,nan,nan
13,SE,chr3R:30644201-30644258-30644394-30644451,-0.086,nan,nan
13,SE,chr2R:17010536-17010886-17010977-17011153,0.371,0.2025324608,0.3864717774770352
13,SE,chr2R:13867304-13868155-13868350-13869859,-0.139,nan,nan
13,SE,chr3L:10587897-10588659-10588732-10589355,nan,0.3190050673,nan
13,SE,chr4:280240-280324-280538-281723,-0.153,nan,-0.05813578520537399
13,SE,chrX:6786813-6787095-6787267-6787350,0.33,nan,0.10866244395656166
13,SE,chr2R:10113171-10113542-10113652-10114125,-0.586,nan,nan
13,SE,chr3R:18010575-18012095-18012151-18013147,0.465,nan,-0.015897502376631234
13,SE,chr3L:1499338-1501345-1501407-1501798,-0.224,nan,-0.6726635519748863
13,SE,chr2L:20824494-20825271-20825513-20825658,0.018,nan,nan
13,SE,chr2R:15936584-15937020-15937327-15937678,0.182,nan,nan
13,SE,chr2R:12612885-12613566-12614346-12615906,-0.177,0.6029340608,0.36353366850654967
13,SE,chr3L:27844605-27847424-27847486-27856783,-0.023,nan,-0.028078820493140588
13,SE,chr2L:7696207-7696593-7696808-7697006,-0.386,nan,nan
13,SE,chr2L:20343948-20345172-20345260-20345524,-0.602,-0.2523842948,-0.6882604302485187
13,SE,chr3L:24028724-24028810-24028939-24030754,-0.03,nan,-0.03641410859634314
13,SE,chr3L:8312751-8313010-8313152-8313956,0.261,0.3819513833,0.31833691666207087
13,SE,chr3L:19487250-19487674-19487768-19487969,-0.126,nan,-0.04412276223763789
