k,EventType,EventID,rMATS,SUPPA2,ESGq
13,SE,chr2R:2770711-2830707-2830782-2830865,0.158,nan,nan
13,SE,chr2R:6865375-6865866-6865885-6866686,nan,0.3103480063,5.2652455324087716e-05
13,SE,chr2L:19782826-19791269-19791342-19791763,0.059,-0.3535231884,-0.23171657335449075
13,SE,chrX:18515683-18517467-18517740-18517810,-0.099,-0.0797766762,-0.1601910859742499
13,SE,chr3L:7930746-7931231-7931250-7931754,0.425,0.3783453717,0.10513574392134739
13,SE,chr3R:5643778-5644162-5644271-5647053,0.325,nan,0.2741499812221476
13,SE,chr3L:21915656-21918335-21918477-21920902,-0.354,-0.1572889619,-0.3476700416595656
13,SE,chr2L:11797742-11797828-11798042-11798664,nan,0.2037574635,-0.004646728095702213
13,SE,chrX:8597715-8598073-8598155-8599030,0.325,nan,0.3337364935448208
13,SE,chr2L:19189101-19189181-19189329-19189445,0.655,0.7127137239,0.5948919996985875
13,SE,chr3L:16115831-16116031-16116242-16117544,0.18,0.1645846996,0.1140473765528327
13,SE,chr3R:19753861-19757814-19757886-19760264,0.382,nan,-0.21128205128205135
13,SE,chr3R:19753861-19754253-19754322-19760264,0.054,nan,nan
13,SE,chr3L:11620666-11620922-11621104-11621213,0.445,0.3951643175,0.4300115907300739
13,SE,chr2R:13865906-13866060-13866127-13866448,0.194,nan,nan
13,SE,chr3R:26579282-26579438-26579469-26579643,-0.073,nan,-0.09260134058889692
13,SE,chr2R:8883400-8883471-8883493-8883621,0.193,nan,0.12690412977862126
13,SE,chr3R:10008855-10009736-10014827-10014989,-0.135,nan,nan
13,SE,chr3R:25747234-25748102-25748226-25749269,-0.598,-0.6978249554,-0.45095137420718817
13,SE,chr2L:2310871-2323350-2323450-2330655,-0.038,nan,0.2567261981875274
13,SE,chr2R:9918849-9918963-9919063-9919446,0.169,nan,0.1955441674672398
13,SE,chr3L:8307381-8307592-8307733-8307793,-0.153,-0.1467574346,-0.15006622366341055
13,SE,chrX:13801774-13801901-13802009-13802066,-0.158,nan,nan
13,SE,chr3L:7339618-7339867-7339909-7339961,nan,-0.173387543,-0.0027283343857567866
13,SE,chrX:14233264-14233420-14233560-14233771,-0.102,nan,nan
13,SE,chrX:22498620-22502194-22502870-22503368,0.056,nan,0.008459644116208365
13,SE,chr3L:3183800-3183932-3183998-3184248,0.352,nan,0.1581196581196581
13,SE,chr3R:18975171-18975242-18975282-18975457,0.301,nan,0.22844706704614415
13,SE,chrX:9022240-9023274-9023327-9024073,-0.655,nan,nan
13,SE,chr2R:19473968-19474527-19474642-19477660,-0.073,nan,nan
